广工大院一楼带70方花园使用率高 西南北通风采光好,广工大院,黄花岗,3室2厅 ,72.23, 南 北 , 简装 ,7,1991, 塔楼,3,4,4990000.0,"69,085元/平",VR房源 房本满五年 随时看房 
省级黄花学府旁  永泰西约 近黄花岗公园 框架精装南向,先烈中路,黄花岗,2室2厅 ,68.36, 南 , 精装 ,9,1992, 塔楼,1,28,3500000.0,"51,200元/平",VR房源 房本满五年 
各付各税 满五 一手业主 三阳台 中层 采光通风好,东环大厦,环市东,7室1厅 ,130.27, 西北 , 简装 ,27,1998, 塔楼,1,27,7800000.0,"59,876元/平",近地铁 VR房源 房本满五年 
洪都大厦少有放盘户型 电梯三房 楼龄新 安静 黄花,洪都逸品,黄花岗,3室2厅 ,97.69, 西北 , 精装 ,33,2010, 塔楼,0,28,8300000.0,"84,963元/平",近地铁 VR房源 房本满五年 
起义路 3室2厅 北 南,起义路,解放南,3室2厅 ,106.17, 北 南 , 其他 ,9,1990, 塔楼,0,17,4900000.0,"46,153元/平",近地铁 VR看装修 房本满五年 
淘金华庭 东南向7字单边无采光 珠江物业管理 视野好,淘金华庭,淘金,3室2厅 ,104.99, 东南 , 精装 ,32,2002, 塔楼,2,22,8900000.0,"84,770元/平",近地铁 VR看装修 房本满五年 
电梯房，格局方正，采光通风好，交通方便，近地铁。,先烈中路81号大院,黄花岗,3室1厅 ,97.7, 东北 , 其他 ,8,2000, 板楼,1,22,5360000.0,"54,862元/平",近地铁 VR看装修 房本满五年 
高楼层  东西对流   自家装修  业主诚心放盘,珠光小北御景,小北,2室2厅 ,80.89, 东 西 , 其他 ,26,2008, 塔楼,0,30,9000000.0,"111,263元/平",近地铁 VR看装修 房本满两年 
小北路 3室1厅 东 西,小北路,小北,3室1厅 ,100.54, 东 西 , 精装 ,4,1990, 板楼,1,19,7280000.0,"72,409元/平",近地铁 VR房源 房本满两年 
大德大厦 3室2厅 南,大德大厦,解放南,3室2厅 ,90.89, 南 , 精装 ,22,1998, 塔楼,0,19,4500000.0,"49,511元/平",近地铁 VR看装修 房本满五年 
高层南向 三房带主套 户型好 全屋精装 视野开阔配套齐,越秀上品轩,西门口,3室1厅 ,105.53, 南 , 精装 ,31,2010, 塔楼,2,20,8790000.0,"83,294元/平",近地铁 VR看装修 房本满两年 
远洋小北宿舍 3室1厅 西北,远洋小北宿舍,小北,3室1厅 ,101.82, 西北 , 其他 ,23,1997, 塔楼,0,31,4990000.0,"49,009元/平",近地铁 VR看装修 房本满五年 
来了来了...地段好户型好朝向好，房款等你好！,名门越秀,北京路,3室1厅 ,116.91, 东南 , 精装 ,29,2000, 塔楼,1,24,8700000.0,"74,417元/平",VR房源 房本满五年 
原装电梯  满五唯一  税费少 精装修 中 不占用 星,淘金花园,淘金,3室1厅 ,113.57, 北 , 精装 ,18,1995, 塔楼,0,25,5500000.0,"48,429元/平",VR看装修 房本满五年 
华侨 到校300米，到淘金地铁站300米，电梯三房,世贸花园,淘金,3室1厅 ,102.14, 北 , 其他 ,25,2001, 塔楼,0,24,6800000.0,"66,576元/平",VR看装修 房本满五年 
户型方正 装修保养好 含车位 东西北三面采光 清水濠,名门越秀,北京路,3室1厅 ,117.07, 东北 , 其他 ,29,2012, 塔楼,0,23,8930000.0,"76,280元/平",近地铁 VR房源 房本满五年 
省级中星 小区自有幼儿园 大户型安静东南朝向 满五,金地大厦,淘金,3室2厅 ,131.5, 东南 , 简装 ,32,1999, 塔楼,1,27,8500000.0,"64,639元/平",VR房源 房本满五年 
小北地铁，全明两房，厅出阳台，停车方便，环境舒适,科技馆大院,麓景,2室2厅 ,50.42, 东北 , 简装 ,9,1993, 塔楼,1,21,1780000.0,"35,304元/平",近地铁 VR房源 房本满五年 
逸雅居 东向 两房两厅 产权清晰 全明户型 过五年,逸雅居,建设路,2室2厅 ,93.32, 东 南 , 其他 ,30,2000, 塔楼,1,22,6450000.0,"69,118元/平",近地铁 VR房源 房本满五年 
解放北路(越秀区) 2室1厅 南,解放北路(越秀区),解放北,2室1厅 ,62.0, 南 , 简装 ,9,1990, 塔楼,0,28,1400000.0,"22,581元/平",VR看装修 房本满五年 
望花园  带平台  采光好  阳台无遮挡 该楼层少放盘,淘金家园二三期,淘金,4室2厅 ,150.73, 东北 , 精装 ,28,2006, 塔楼,0,16,15990000.0,"106,084元/平",VR房源 房本满五年 
桂花岗 2室1厅 西南,桂花岗,桂花岗,2室1厅 ,59.43, 西南 , 其他 ,9,1996, 塔楼,2,26,1350000.0,"22,716元/平",VR看装修 房本满两年 
洪都大厦少有放盘户型 电梯三房 楼龄新 安静 黄花,洪都逸品,黄花岗,3室2厅 ,97.69, 西北 , 精装 ,33,2010, 塔楼,0,28,8300000.0,"84,963元/平",近地铁 VR房源 房本满五年 
寺右二马路 3室1厅 南,寺右二马路,五羊新城,3室1厅 ,88.91, 南 , 简装 ,9,1989, 塔楼,0,20,5500000.0,"61,861元/平",近地铁 VR看装修 房本满五年 
华侨乐园 3室1厅 西北,华侨乐园,淘金,3室1厅 ,113.57, 西北 , 其他 ,26,1995, 塔楼,0,26,6900000.0,"60,756元/平",近地铁 VR房源 房本满五年 
黄田小区  电梯高层东南向单位 改三房 封闭小区管理,黄田小区,麓景,2室2厅 ,80.13, 东南 , 简装 ,9,1988, 塔楼,0,31,3800000.0,"47,423元/平",近地铁 VR房源 房本满五年 
花果山庄 电梯高楼层 东南向 通风采光俱佳，户型方正,花果山庄,桂花岗,2室1厅 ,79.76, 东南 西南 , 精装 ,10,2000, 塔楼,1,30,3600000.0,"45,136元/平",VR房源 房本满五年 
润粤大厦 3室2厅 东南,润粤大厦,水荫,3室2厅 ,117.21, 东南 , 精装 ,33,1999, 塔楼,0,24,12000000.0,"102,381元/平",近地铁 VR看装修 房本满五年 
东川路 白云一街七楼 南北对流 实用三房 有公用大露台,东川路,东川路,3室1厅 ,78.37, 东 南 北 , 精装 ,8,1990, 塔楼,0,29,4980000.0,"63,545元/平",近地铁 VR看装修 房本满五年 
执信大院 电梯平层南北三房 入农林小,执信大院,环市东,3室2厅 ,68.43, 南 北 , 其他 ,9,1996, 塔楼,1,27,5500000.0,"80,375元/平",VR看装修 房本满五年 
小北 原装电梯 东南向 24小时封闭式花园小区 近公园,北秀花园,小北,3室2厅 ,118.28, 东南 , 简装 ,27,2002, 塔楼,0,30,11660000.0,"98,580元/平",近地铁 VR房源 房本满五年 
颐秀华庭 原装电梯四房 楼龄新  近公园,颐秀华庭,小北,3室2厅 ,131.0, 北 , 其他 ,24,2005, 塔楼,0,27,12000000.0,"91,604元/平",近地铁 VR看装修 房本满五年 
全明精装修3+1房南北对流，方正实用，过五唯一商品,竹丝岗二马路7号大院,东风东,3室2厅 ,111.2, 南 北 , 其他 ,9,1992, 塔楼,0,31,6200000.0,"55,756元/平",VR看装修 房本满五年 
德悦居 原装电梯 中高层 通风采光好 交通便捷,德悦居,越秀南,3室2厅 ,87.8, 东南 , 简装 ,15,2000, 塔楼,2,28,5960000.0,"67,882元/平",VR房源 房本满五年 
越秀区小区，新电梯，大三房，南向安静，装修好满五年,永福楼,黄花岗,3室2厅 ,106.33, 南 , 精装 ,25,1998, 塔楼,0,19,4500000.0,"42,322元/平",近地铁 VR看装修 房本满五年 
麓湖盛景电梯正规三房，方正实用，全明屋,麓湖盛景,麓景,3室2厅 ,86.17, 西 北 , 精装 ,25,2007, 塔楼,3,28,4800000.0,"55,704元/平",近地铁 VR看装修 房本满五年 
远洋小北宿舍 3室1厅 西北,远洋小北宿舍,小北,3室1厅 ,101.82, 西北 , 其他 ,23,1997, 塔楼,0,31,4990000.0,"49,009元/平",近地铁 VR看装修 房本满五年 
高楼层  东西对流   自家装修  业主诚心放盘,珠光小北御景,小北,2室2厅 ,80.89, 东 西 , 其他 ,26,2008, 塔楼,0,30,9000000.0,"111,263元/平",近地铁 VR看装修 房本满两年 
小北路 3室1厅 东 西,小北路,小北,3室1厅 ,100.54, 东 西 , 精装 ,4,1990, 板楼,1,19,7280000.0,"72,409元/平",近地铁 VR房源 房本满两年 
起义路 3室2厅 北 南,起义路,解放南,3室2厅 ,106.17, 北 南 , 其他 ,9,1990, 塔楼,0,17,4900000.0,"46,153元/平",近地铁 VR看装修 房本满五年 
金湾畔大厦 1室0厅 西,金湾畔大厦,越秀南,1室0厅 ,53.18, 西 , 精装 ,41,2009, 塔楼,0,14,3330000.0,"62,618元/平",VR看装修 房本满五年 随时看房 
爱群荟景湾 稀有户型 南向望江 视野开阔 精装修,爱群荟景湾,解放南,7室2厅 ,339.48, 东南 北 , 精装 ,48,2014, 塔楼,34, 10个月以前发布,25500000.0,"75,115元/平",近地铁 VR房源 房本满五年 
淘金家园c组团 南向四房 证满五年唯一 户型方正,淘金家园峯璟,淘金,4室1厅 ,132.54, 东南 南 , 其他 ,30,2013, 塔楼,14, 3个月以前发布,13500000.0,"101,857元/平",近地铁 VR房源 房本满五年 
都府小区 2室1厅 北,都府小区,公园前,2室1厅 ,27.46, 北 , 精装 ,9,1993, 塔楼,2,12,1200000.0,"43,700元/平",近地铁 VR房源 房本满五年 随时看房 
侨福苑 3室2厅 西,侨福苑,淘金,3室2厅 ,108.71, 西 , 精装 ,21,1996, 板楼,3, 2个月以前发布,7860000.0,"72,303元/平",VR房源 房本满五年 
越秀山 空中电梯五层别墅 七房三厅四卫 实用空间大,嘉洲翠庭,小北,7室3厅 ,206.64, 东南 , 其他 ,25,2001, 塔楼,2, 3个月以前发布,18800000.0,"90,980元/平",近地铁 VR房源 房本满五年 
此房还差三个月满五年  业主可以满五交易 有钥匙,华逸阁,东川路,1室0厅 ,34.3, 东 , 其他 ,9,2000, 塔楼,0,15,1850000.0,"53,936元/平",VR看装修 房本满两年 随时看房 
北京路地铁，大南路小区，精装电梯四房，采光通风。,大南居,北京路,4室2厅 ,114.0, 西 北 , 精装 ,9,2003, 平房,21, 一年前发布,5780000.0,"50,702元/平",VR房源 房本满五年 
中山三路高层，准电梯，双阳台大五房,中山三路,东川路,5室2厅 ,119.73, 南 西 北 , 精装 ,9,1990, 塔楼,54, 一年前发布,5500000.0,"45,937元/平",近地铁 VR看装修 房本满两年 
翠怡大厦，三阳台，东南北采光，格局方正四房。,翠怡大厦,小北,4室2厅 ,150.0, 东南 , 精装 ,25,2007, 塔楼,11, 5个月以前发布,12150000.0,"81,000元/平",近地铁 VR房源 房本满五年 
厅大房大，采光充足，交通方便，小孩上学200米,国龙大厦,小北,3室1厅 ,127.83, 东北 , 其他 ,30,2005, 塔楼,20, 一年前发布,7000000.0,"54,761元/平",近地铁 VR看装修 房本满两年 
东山新天地 楼龄新 证满5年 复式6房 双主套 南北对流,富力东山新天地,杨箕,6室2厅 ,265.0, 南 , 精装 ,47,2014, 塔楼,29, 9个月以前发布,39750000.0,"150,000元/平",近地铁 VR房源 房本满五年 
文德路 原装电梯高层 南北对流三面单边 采光通风,文德北路,北京路,6室2厅 ,187.78, 南 东 北 , 其他 ,9,2000, 塔楼,0, 1个月以前发布,10600000.0,"56,450元/平",近地铁 VR房源 房本满五年 
嘉骏苑 复式单位 五房四卫 带天台花园 视野开阔,嘉骏苑,东川路,5室2厅 ,206.0, 南 , 其他 ,32,2001, 塔楼,28, 一年前发布,20700000.0,"100,486元/平",近地铁 VR房源 房本满五年 
东南户型 证满5年，正规四房，视野开阔，采光通风好,富宏花园,小北,4室2厅 ,201.09, 西南 , 简装 ,22,1997, 塔楼,5, 10个月以前发布,15300000.0,"76,086元/平",近地铁 VR看装修 房本满两年 
中山二路，鸿瑞大厦，顶层大平层，满五,鸿瑞大厦,东川路,5室2厅 ,246.52, 北 , 简装 ,28,2002, 塔楼,5, 2个月以前发布,14900000.0,"60,442元/平",近地铁 VR房源 房本满五年 
三房双阳双卫大院管理配套成熟，过五年产权清晰,西华路,西华路,3室2厅 ,104.53, 东 西 , 其他 ,9,1994, 塔楼,10, 4个月以前发布,2950000.0,"28,222元/平",近地铁 VR看装修 房本满五年 
方凯华庭南向4房 采光通风好 精心装修,方凯华庭,小北,4室1厅 ,171.06, 南 , 精装 ,19,2007, 塔楼,19, 一年前发布,14180000.0,"82,895元/平",近地铁 VR房源 房本满五年 
高净值优选+高层东南向头排江景+省旧部前,爱群荟景湾,解放南,5室2厅 ,371.05, 东 南 北 , 精装 ,48,2014, 塔楼,22, 4个月以前发布,32000000.0,"86,242元/平",近地铁 VR房源 房本满两年 
富宏花园 电梯楼 高层带天台 通风视野好,富宏花园,小北,4室2厅 ,145.14, 西北 , 简装 ,22,1982, 塔楼,13, 一年前发布,13030000.0,"89,776元/平",VR房源 房本满五年 
实用舒适单位 配套完善,富宏花园,小北,5室1厅 ,137.86, 西北 , 简装 ,22,1997, 塔楼,21, 一年前发布,13770000.0,"99,884元/平",近地铁 VR房源 房本满五年 
"润粤大厦，, 视野开阔,白云山景观尽收眼底.",润粤大厦,水荫,6室2厅 ,185.92, 南 , 其他 ,33,1999, 塔楼,0, 1个月以前发布,14500000.0,"77,991元/平",近地铁 VR房源 房本满五年 
花果山庄 4室2厅 南 北 西,花果山庄,桂花岗,4室2厅 ,152.09, 南 北 西 , 精装 ,9,2000, 塔楼,0, 1个月以前发布,6880500.0,"45,240元/平",VR房源 房本满五年 
原装电梯 单边东南户型一线望江视野景观 南北通风对流,天字广场,海珠广场,4室2厅 ,182.68, 东南 , 其他 ,29,2001, 塔楼,31, 一年前发布,9500000.0,"52,004元/平",近地铁 VR房源 房本满五年 
高层复式，望小区花园，视野好，独有接近200平的天台,金羊花园,杨箕,5室3厅 ,329.12, 东南 , 精装 ,29,2004, 塔楼,49, 一年前发布,23000000.0,"69,884元/平",VR房源 房本满五年 
恒福阁高层大面积单位，业主诚心放卖,恒福阁,淘金,3室2厅 ,145.6, 北 , 精装 ,36,1997, 塔楼,16, 一年前发布,7600000.0,"52,198元/平",VR房源 房本满五年 
农小 满五唯一精装3房 犀牛路 近地铁 南北朝向,犀牛路,环市东,3室2厅 ,113.85, 东南 , 精装 ,6,1989, 塔楼,54, 一年前发布,6530000.0,"57,357元/平",VR看装修 房本满五年 
培正小面积两房，东湖地铁口旁，带车位,东华东路,东山口,2室1厅 ,27.75, 东南 , 精装 ,6,1990, 塔楼,0,16,2490000.0,"89,730元/平",近地铁 VR看装修 房本满五年 随时看房 
建雅台顶层复式 五房三卫 两层有露台 有多面积视野好,建雅台,东川路,5室2厅 ,218.32, 东北 , 精装 ,22,2005, 塔楼,100, 一年前发布,12000000.0,"54,966元/平",VR房源 房本满两年 
中科院大院 四房二厅二卫 南北向 楼层低 地铁口,先烈中路81号大院,黄花岗,4室2厅 ,117.48, 南 , 精装 ,5,2000, 塔楼,127, 一年前发布,5900000.0,"50,222元/平",近地铁 VR看装修 房本满两年 
新华楼 东风东 产权清晰 满五年商品房 电梯,新华楼,水荫,3室2厅 ,128.02, 南 , 简装 ,13,2000, 塔楼,2, 2个月以前发布,12600000.0,"98,423元/平",近地铁 VR看装修 房本满五年 
复式两层另100方花园自家使用，东南向 满五唯一,德雅轩,农讲所,5室2厅 ,195.75, 东南 , 精装 ,18,2010, 塔楼,12, 2个月以前发布,14800000.0,"75,607元/平",近地铁 VR房源 房本满五年 
翠山美庭 原装电梯4房 楼龄新省东风西无占用稀有房源,翠山美庭,盘福,4室2厅 ,120.96, 西南 , 简装 ,15,2006, 塔楼,29, 4个月以前发布,7800000.0,"64,485元/平",VR房源 房本满两年 
满五 正南向  大五房 原装电梯  高楼层,侨力大厦,解放南,5室2厅 ,167.66, 南 , 其他 ,30,2003, 塔楼,29, 一年前发布,9380000.0,"55,947元/平",近地铁 VR看装修 房本满五年 
此房满五年，不是唯一，安静小区，框架结构。,恒福路,淘金,3室1厅 ,102.61, 南 西 北 , 简装 ,9,1988, 塔楼,0, 2个月以前发布,4300000.0,"41,907元/平",近地铁 VR看装修 房本满五年 
东山新天地 满5唯一 复式双主套 楼龄新 南北对流,富力东山新天地,杨箕,6室2厅 ,281.3, 南 北 , 其他 ,47,2016, 塔楼,4, 一年前发布,41000000.0,"145,752元/平",近地铁 VR房源 房本满五年 
文德先生 4室2厅 东北,文德先生,越秀南,4室2厅 ,189.46, 东北 , 精装 ,38,2013, 板塔结合,5, 6个月以前发布,17500000.0,"92,368元/平",近地铁 VR房源 房本满两年 
东山新天地 楼龄新 证满5年 复式6房 双主套 南北对流,富力东山新天地,杨箕,6室2厅 ,265.0, 南 , 精装 ,47,2014, 塔楼,29, 9个月以前发布,39750000.0,"150,000元/平",近地铁 VR房源 房本满五年 
文德路 原装电梯高层 南北对流三面单边 采光通风,文德北路,北京路,6室2厅 ,187.78, 南 东 北 , 其他 ,9,2000, 塔楼,0, 1个月以前发布,10600000.0,"56,450元/平",近地铁 VR房源 房本满五年 
金湾畔大厦 1室0厅 西,金湾畔大厦,越秀南,1室0厅 ,53.18, 西 , 精装 ,41,2009, 塔楼,0,14,3330000.0,"62,618元/平",VR看装修 房本满五年 随时看房 
爱群荟景湾 稀有户型 南向望江 视野开阔 精装修,爱群荟景湾,解放南,7室2厅 ,339.48, 东南 北 , 精装 ,48,2014, 塔楼,34, 10个月以前发布,25500000.0,"75,115元/平",近地铁 VR房源 房本满五年 
嘉骏苑 复式单位 五房四卫 带天台花园 视野开阔,嘉骏苑,东川路,5室2厅 ,206.0, 南 , 其他 ,32,2001, 塔楼,28, 一年前发布,20700000.0,"100,486元/平",近地铁 VR房源 房本满五年 
侨福苑 3室2厅 西,侨福苑,淘金,3室2厅 ,108.71, 西 , 精装 ,21,1996, 板楼,3, 2个月以前发布,7860000.0,"72,303元/平",VR房源 房本满五年 
越秀山 空中电梯五层别墅 七房三厅四卫 实用空间大,嘉洲翠庭,小北,7室3厅 ,206.64, 东南 , 其他 ,25,2001, 塔楼,2, 3个月以前发布,18800000.0,"90,980元/平",近地铁 VR房源 房本满五年 
海印苑 原装电梯三房带主套 小区管理,海印苑,东湖,3室1厅 ,107.77, 南 , 其他 ,22,1996, 塔楼,1,9,8950000.0,"83,048元/平",近地铁 VR看装修 房本满五年 
白云一街8号大院 2室1厅 南,白云一街8号大院,东川路,2室1厅 ,51.8, 南 , 精装 ,6,1993, 板楼,0,5,3380000.0,"65,251元/平",近地铁 VR看装修 房本满五年 
都府小区 2室1厅 东,都府小区,公园前,2室1厅 ,49.25, 东 , 其他 ,8,1993, 塔楼,0,5,3200000.0,"64,975元/平",近地铁 VR看装修 房本满五年 
湛塘路 2室1厅 南,湛塘路,越秀南,2室1厅 ,55.49, 南 , 精装 ,9,2004, 塔楼,0,2,2500000.0,"45,054元/平",VR看装修 房本满两年 
采光充足单边位，公园旁，视野辽阔，华侨,淘金路,淘金,2室1厅 ,63.92, 北 , 其他 ,7,1985, 塔楼,0,8,3700000.0,"57,885元/平",近地铁 VR看装修 房本满五年 
共和苑 2室1厅 南,共和苑,杨箕,2室1厅 ,57.43, 南 , 其他 ,6,1992, 板楼,0,6,3600000.0,"62,686元/平",近地铁 VR看装修 房本满五年 
西门口光塔路小区 一楼复式三房 证过五年免重税,光塔路,西门口,3室1厅 ,47.34, 东北 , 其他 ,6,1985, 板楼,0,3,1850000.0,"39,080元/平",近地铁 VR看装修 房本满五年 
