豪利花园，房子精装修，拎包入住，看房方便，欢迎咨询,豪利花园,镜湖大道,3室1厅 ,98.96, 南 , 精装 ,16,2014, 塔楼,2,28,1790000.0,"18,089元/平",VR房源 房本满两年 随时看房 
保利翡翠山 1室1厅 东,保利翡翠山,旧区,1室1厅 ,42.11, 东 , 毛坯 ,24,2017, 塔楼,0,18,798000.0,"18,951元/平",房本满两年 随时看房 
十年电梯楼 人车分流 花园景观 视野开阔,在水一方,旧区,4室1厅 ,151.27, 南 , 其他 ,23,2008, 塔楼,1, 10个月以前发布,2800000.0,"18,510元/平",近地铁 VR看装修 房本满五年 
地铁口物业 格局方正，采光充足 交通四通八达,狮峰公馆,铁路西,3室2厅 ,134.61, 南 北 , 其他 ,15,2013, 塔楼,1, 一年前发布,2180000.0,"16,195元/平",近地铁 VR房源 房本满五年 
房子在广播电视大学内，近市场，交通便利。,经济贸易职业技术学校,旧区,3室1厅 ,132.07, 南 , 简装 ,8,1995, 塔楼,27, 4个月以前发布,790000.0,"5,982元/平",VR房源 房本满五年 随时看房 
自由人花园，高层大户型南向，户型方正，钥匙在手。,自由人花园,镜湖大道,4室2厅 ,176.0, 南 , 毛坯 ,29,2013, 塔楼,6, 一年前发布,3820000.0,"21,705元/平",VR看装修 房本满两年 随时看房 
户型方正 格局好 楼层好 配套齐全 交通便利,广州融创文旅城B3区,花城街,3室2厅 ,117.89, 南 , 其他 ,34,2018, 塔楼,28, 一年前发布,3000000.0,"25,448元/平",VR看装修 房本满两年 随时看房 
棠澍后面  标准三房  户型方正 配套齐全完善,宜华居,旧区,3室2厅 ,109.0, 南 , 精装 ,9,2003, 塔楼,0, 1个月以前发布,1350000.0,"12,386元/平",VR看装修 房本满五年 随时看房 
此房满五年唯一双拼大别墅自带地下室单边位,合和新城,镜湖大道,5室2厅 ,306.23, 南 , 毛坯 ,1, 平房 , 双拼别墅 ,7, 6个月以前发布,11800000.0,"38,534元/平",近地铁 VR房源 房本满两年 随时看房 
祈福辉煌台，毛坯，正规2房.交通便利,祈福辉煌台,铁路西,2室1厅 ,101.36, 南 北 , 毛坯 ,28,2008, 塔楼,2, 一年前发布,1600000.0,"15,786元/平",近地铁 VR房源 房本满五年 随时看房 
芙蓉春晓 3室2厅 北,芙蓉春晓,狮岭镇,3室2厅 ,95.43, 北 , 简装 ,29,2015, 塔楼,1, 4个月以前发布,1230000.0,"12,890元/平",VR看装修 房本满两年 随时看房 
合和新城 5室3厅 东南 南,合和新城,镜湖大道,5室3厅 ,306.23, 东南 南 , 毛坯 ,1,2011, 平房,1, 2个月以前发布,12480000.0,"40,754元/平",近地铁 VR房源 房本满五年 随时看房 
广州北站地铁口，看花园安静小三房。,南华时代城,铁路西,3室1厅 ,85.82, 东南 , 毛坯 ,30,2010, 塔楼,2, 3个月以前发布,1550000.0,"18,062元/平",VR看装修 房本满两年 随时看房 
骏威锦东花园A区 3室1厅 北,骏威锦东花园A区,新区,3室1厅 ,104.2, 北 , 毛坯 ,24,2012, 塔楼,1, 2个月以前发布,3150000.0,"30,231元/平",近地铁 VR看装修 房本满五年 随时看房 
高楼层南北对流望水库，带子母车位 。,新鸿基御华园,狮岭镇,4室2厅 ,168.49, 南 , 毛坯 ,31,2013, 板塔结合,16, 一年前发布,3050000.0,"18,102元/平",VR看装修 房本满五年 随时看房 
天马河花园小区人车分流优质两房小户型,天马河壹号四期,铁路西,2室1厅 ,50.34, 南 北 , 精装 ,11,2012, 塔楼,72, 一年前发布,900000.0,"17,879元/平",近地铁 VR看装修 房本满五年 随时看房 
广州北站地铁口祈福小区 刚需两房 方正实在总*低,祈福万景峰,铁路西,2室1厅 ,59.22, 北 , 毛坯 ,28,2014, 塔楼,65, 一年前发布,1000000.0,"16,887元/平",近地铁 VR房源 房本满两年 随时看房 
广州北站地铁口 电梯高层 采光充足 配套完善 交通便利,祈福辉煌台,铁路西,4室2厅 ,143.03, 西北 , 精装 ,28,2015, 塔楼,8, 一年前发布,2300000.0,"16,081元/平",VR房源 房本满五年 随时看房 
合和新城 3室2厅 南 东北,合和新城,镜湖大道,3室2厅 ,157.91, 南 东北 , 毛坯 ,15,2011, 塔楼,8, 4个月以前发布,2880000.0,"18,239元/平",近地铁 VR房源 房本满五年 随时看房 
三房带主套，带170方自用大平台,骏威广场,旧区,3室2厅 ,127.0, 南 北 , 精装 ,11,2000, 塔楼,0, 2个月以前发布,2800000.0,"22,048元/平",近地铁 VR房源 房本满五年 随时看房 
棠树正规三房，安静舒适小区管理好，交通方便,平福小区,旧区,3室2厅 ,66.5, 南 , 简装 ,8,1996, 塔楼,10, 一年前发布,680000.0,"10,226元/平",VR看装修 房本满五年 随时看房 
花都CBD中轴旁 融创文旅城  南向中高层 随时约看,广州融创文旅城A2区,花城街,4室2厅 ,114.43, 南 , 毛坯 ,33,2018, 塔楼,16, 11个月以前发布,2650000.0,"23,159元/平",VR看装修 房本满两年 随时看房 
保养维护较好，格局很方正，实用刚需型，透气通风,富力金港城东区,花东镇,2室1厅 ,83.5, 北 , 精装 ,11,2014, 塔楼,0,26,1000000.0,"11,977元/平",VR看装修 房本满五年 随时看房 
智烨山水豪庭 南北对流三房  中层看花园 产权清晰,智烨山水豪庭,狮岭镇,3室2厅 ,96.63, 南 , 其他 ,18,2013, 塔楼,0,23,1058000.0,"10,949元/平",VR房源 房本满五年 随时看房 
雅宝新城名门世家 4室2厅 东南,雅宝新城名门世家,秀全街,4室2厅 ,148.43, 东南 , 毛坯 ,29,2012, 塔楼,0,29,2150000.0,"14,485元/平",VR看装修 房本满五年 随时看房 
怡雅花园 3室2厅 南,怡雅花园,旧区,3室2厅 ,124.74, 南 , 其他 ,9,2006, 板楼,1, 2个月以前发布,1900000.0,"15,232元/平",VR房源 房本满两年 
厅出阳台望花园 采光充足 视野好 居住安静舒适,宝铼雅居,铁路西,2室2厅 ,79.0, 西南 , 精装 ,11,2013, 塔楼,0, 1个月以前发布,1080000.0,"13,671元/平",VR看装修 房本满五年 
天马河壹号四期 3室1厅 南,天马河壹号四期,铁路西,3室1厅 ,95.41, 南 , 其他 ,11,2012, 塔楼,0, 1个月以前发布,1550000.0,"16,246元/平",近地铁 VR房源 房本满五年 
大运家园 6室3厅 东南,大运家园,新区,6室3厅 ,385.41, 东南 , 其他 ,11,2009, 塔楼,0, 1个月以前发布,11000000.0,"28,542元/平",近地铁 VR房源 房本满五年 
大运家园 3室2厅 南 北,大运家园,新区,3室2厅 ,141.55, 南 北 , 精装 ,10,2009, 塔楼,0, 1个月以前发布,3380000.0,"23,879元/平",近地铁 VR看装修 房本满两年 
大运家园 3室2厅 南 北,大运家园,新区,3室2厅 ,137.63, 南 北 , 精装 ,11,2009, 塔楼,0, 1个月以前发布,3380000.0,"24,559元/平",近地铁 VR看装修 房本满两年 
金融街花絮小镇大四房环境优美，空气清新，适宜居住,金融街花溪小镇,花东镇,5室1厅 ,142.32, 西北 , 其他 ,18,2017, 塔楼,0, 1个月以前发布,1900000.0,"13,351元/平",VR看装修 房本满两年 
华天大厦，电梯三房，地铁口物业，精装领包入住,华天大厦,旧区,3室1厅 ,122.58, 东 西 , 精装 ,12,2005, 塔楼,1, 1个月以前发布,2080000.0,"16,969元/平",近地铁 VR看装修 房本满两年 
全新装修未住，楼层好 ，南北对流，采光好，拎包可住,祈福天龙苑,铁路西,4室2厅 ,144.74, 北 , 精装 ,27,2014, 塔楼,0, 1个月以前发布,2700000.0,"18,655元/平",VR房源 房本满五年 
祈福天龙苑 2室2厅 北,祈福天龙苑,铁路西,2室2厅 ,58.53, 北 , 其他 ,28,2014, 塔楼,0,24,1200000.0,"20,503元/平",VR房源 房本满两年 
朗悦君廷带空中花园大三房 保养好 看房方便,朗悦君廷,镜湖大道,3室2厅 ,104.0, 南 , 其他 ,17,2008, 塔楼,0,29,1880000.0,"18,077元/平",VR房源 房本满五年 
自由人花园七期中高楼层精装修南向三房,自由人花园,镜湖大道,3室2厅 ,91.1, 西南 南 , 精装 ,31,2018, 塔楼,0, 1个月以前发布,1990000.0,"21,845元/平",VR看装修 房本满两年 
远离高铁高速，安静不吵，带精装证已满二,雅居乐锦城花间集,秀全街,4室2厅 ,160.0, 南 , 其他 ,25,2008, 塔楼,0, 1个月以前发布,3000000.0,"18,750元/平",VR房源 房本满两年 
自由人花园 三房南向 产权清晰  小区居住舒适,自由人花园,镜湖大道,3室2厅 ,91.1, 东南 , 精装 ,31,2018, 塔楼,0, 1个月以前发布,1730000.0,"18,991元/平",VR看装修 房本满两年 
大润发 旁边 岭南公馆   业主诚心放卖,岭南公馆,新区,2室1厅 ,96.19, 西 北 , 其他 ,18,2010, 塔楼,0,22,2020000.0,"21,001元/平",VR看装修 房本满五年 
此房格局方正，楼层适中视野好，精装正规四房。,雅居乐锦城花冠集,秀全街,4室2厅 ,146.0, 西南 , 其他 ,32,2008, 塔楼,0,30,2800000.0,"19,179元/平",VR看装修 房本满五年 
飞鹅岭b出口，保利刚需两房，装修保养好，业主诚心卖,保利高尔夫郡,铁路西,2室2厅 ,87.03, 北 , 精装 ,31,2015, 塔楼,0,28,1400000.0,"16,087元/平",近地铁 VR看装修 房本满五年 
万虹花园 3室2厅 南,万虹花园,狮岭镇,3室2厅 ,116.36, 南 , 其他 ,11,2011, 塔楼,0,29,1850000.0,"15,899元/平",VR房源 房本满五年 
雅居乐锦城花间集 望小区园林 融创旁,雅居乐锦城花间集,秀全街,3室2厅 ,102.51, 东北 , 精装 ,25,2011, 塔楼,0, 1个月以前发布,1830000.0,"17,852元/平",VR房源 房本满五年 
豪利花园 3室2厅 南,豪利花园,镜湖大道,3室2厅 ,94.3, 南 , 精装 ,15,2014, 塔楼,0, 1个月以前发布,2180000.0,"23,118元/平",VR看装修 房本满五年 
近地铁，配套成熟，大型小区，小区管理好， 户型舒适,骏威广场,旧区,3室2厅 ,127.03, 北 , 其他 ,17,2002, 塔楼,0,25,2590000.0,"20,389元/平",近地铁 VR看装修 房本满五年 
此房格局方正，采光充足，视野宽阔，交通便利,富力金港城东区,花东镇,2室2厅 ,82.61, 北 , 精装 ,18,2013, 塔楼,0,27,1010000.0,"12,227元/平",VR看装修 房本满两年 
区政府旁 锦东大楼盘 高层看花园 不看路 安静舒适,骏威锦东花园A区,新区,3室2厅 ,100.02, 北 , 精装 ,23,2012, 塔楼,0,27,3200000.0,"31,994元/平",近地铁 VR看装修 房本满两年 
广州北站地铁口精装两房中楼层满两年,祈福万景峰,铁路西,2室2厅 ,77.42, 北 , 其他 ,27,2017, 塔楼,0,19,1380000.0,"17,825元/平",近地铁 VR房源 房本满两年 
地铁口800米，中型社区，湾科物业，满五唯一税费低,万科天景花园,铁路西,3室2厅 ,89.73, 南 , 精装 ,21,2008, 塔楼,0,27,1420000.0,"15,826元/平",近地铁 VR看装修 房本满五年 
金福馨庭 3室2厅 南 北,金福馨庭,旧区,3室2厅 ,107.36, 南 北 , 简装 ,7,2010, 塔楼,0,28,1500000.0,"13,972元/平",VR房源 房本满五年 
花城路地铁口3房精装修 户型方正 看房方便,花城路,旧区,3室2厅 ,88.88, 南 , 精装 ,8,1996, 塔楼,1,19,950000.0,"10,689元/平",近地铁 VR看装修 房本满两年 
南航花园，中间位置，安静，视野开阔,南航花园,新区,3室2厅 ,159.99, 北 , 其他 ,18,2002, 塔楼,0,23,2630000.0,"16,439元/平",近地铁 VR看装修 房本满五年 
锦尚名苑 3室2厅 东,锦尚名苑,新区,3室2厅 ,121.35, 东 , 简装 ,6,2004, 板楼,0,20,2200000.0,"18,130元/平",近地铁 VR房源 房本满五年 
镜湖大道18号线凤凰南路站豪利精装修三房,豪利花园,镜湖大道,3室2厅 ,99.97, 北 , 精装 ,16,2012, 塔楼,0,27,1850000.0,"18,506元/平",VR看装修 房本满五年 
顶楼复式，南北对流，采光充足，环境舒适,航都花园,新区,5室2厅 ,205.3, 北 , 简装 ,12,2003, 塔楼,0,29,2950000.0,"14,370元/平",近地铁 VR房源 房本满两年 
此房户型方正 实用舒适装修保养新,风神公社,铁路西,4室1厅 ,173.71, 南 , 精装 ,15,2010, 塔楼,0,23,2500000.0,"14,392元/平",近地铁 VR房源 房本满两年 
豪利花园 3室2厅 南,豪利花园,镜湖大道,3室2厅 ,131.0, 南 , 精装 ,12,2005, 塔楼,0,29,2430000.0,"18,550元/平",VR看装修 房本满五年 
天隽峰——花果山地铁站300米，准新，南向，诚心卖,路劲天隽峰,旧区,3室2厅 ,96.81, 南 , 其他 ,32,2019, 塔楼,0,30,2980000.0,"30,782元/平",近地铁 VR看装修 房本满两年 
保利高尔夫郡 南北对流四房 采光保养好 中高层有钥匙,保利高尔夫郡,铁路西,4室2厅 ,138.85, 南 北 , 精装 ,29,2015, 塔楼,1,11,2100000.0,"15,125元/平",近地铁 VR房源 房本满五年 随时看房 
豪利花园 南向望花园 三房户型,豪利花园,镜湖大道,3室1厅 ,100.63, 东南 , 毛坯 ,16,2011, 塔楼,2,5,1680000.0,"16,695元/平",VR看装修 房本满两年 随时看房 
保利花城花园 3室1厅 南,保利花城花园,花城街,3室1厅 ,122.17, 南 , 毛坯 ,18,2013, 塔楼,0,7,2000000.0,"16,371元/平",VR看装修 房本满两年 随时看房 
广州市花都区秀全中学宿舍 4室2厅 南,广州市花都区秀全中学宿舍,旧区,4室2厅 ,128.01, 南 , 其他 ,6,2000, 板楼,0,8,1600000.0,"12,500元/平",近地铁 VR看装修 房本满五年 随时看房 
新鸿基御华园 1室1厅 南,新鸿基御华园,狮岭镇,1室1厅 ,56.07, 南 , 毛坯 ,31,2013, 板塔结合,0,7,650000.0,"11,593元/平",VR看装修 房本满两年 随时看房 
天马丽苑   纯南向视野好，九小，幼儿园都有,天马丽苑二期,铁路西,3室2厅 ,97.55, 南 , 精装 ,35,2007, 塔楼,0,5,1400000.0,"14,352元/平",VR看装修 房本满五年 
天马丽苑  科物业  汽车城地铁口,天马丽苑二期,铁路西,3室1厅 ,99.73, 西 , 简装 ,33,2007, 塔楼,1,15,1380000.0,"13,838元/平",VR看装修 房本满五年 随时看房 
骏威锦东花园A区 3室2厅 南,骏威锦东花园A区,新区,3室2厅 ,99.6, 南 , 精装 ,23,2012, 塔楼,1,14,2850000.0,"28,615元/平",近地铁 VR看装修 房本满五年 随时看房 
大三房，户型格局好，通风采光理想，视野开阔,祈福辉煌台,铁路西,3室1厅 ,119.59, 北 , 简装 ,28,2007, 塔楼,0,12,1580000.0,"13,212元/平",VR房源 房本满五年 随时看房 
格局方正实用采光好 证够五年唯一 业主诚心卖,宝铼雅居,铁路西,3室2厅 ,102.33, 南 北 , 毛坯 ,11,2013, 塔楼,3,12,1250000.0,"12,216元/平",VR看装修 房本满五年 随时看房 
精装， 南向 格局方正实用 ，业主急，诚心卖,宝铼雅居,铁路西,2室1厅 ,82.25, 南 , 精装 ,11,2013, 塔楼,0,6,1030000.0,"12,523元/平",VR房源 房本满两年 
锦尚蓬莱 精装三房 南北对流 望花园 近地铁 大润发,锦尚蓬莱苑,新区,3室2厅 ,111.68, 南 北 , 其他 ,18,2011, 塔楼,3,8,2800000.0,"25,072元/平",VR看装修 房本满五年 
刚需靓户型，方正实用，采光好..........,祈福辉煌台,铁路西,3室2厅 ,109.0, 北 , 精装 ,28,2015, 塔楼,0,7,1560000.0,"14,312元/平",VR房源 房本满五年 
花都湖天然氧吧，园林式大型小区，一线景观，成熟配套,中房观湖国际,旧区,3室2厅 ,152.3, 南 , 毛坯 ,28,2007, 塔楼,1,29,2680000.0,"17,597元/平",VR看装修 房本满五年 随时看房 
格局好 电梯高楼层 采光充足 视野开阔 配套齐全,天马丽苑二期,铁路西,3室1厅 ,99.73, 东 西 , 精装 ,33,2007, 塔楼,0,22,1450000.0,"14,540元/平",VR看装修 房本满五年 随时看房 
凤华路 3室2厅 南,凤华路,旧区,3室2厅 ,82.84, 南 , 精装 ,8,1994, 塔楼,0,22,830000.0,"10,020元/平",VR看装修 房本满五年 随时看房 
小区管理，全新靓装修，东南向，拎包入住，采光通风好,侨苑小区(花都区),旧区,3室2厅 ,98.54, 东 东南 , 精装 ,8,2000, 板楼,7,29,1060000.0,"10,758元/平",近地铁 VR房源 房本满两年 随时看房 
天马丽苑二期 3室1厅 南 北,天马丽苑二期,铁路西,3室1厅 ,92.86, 南 北 , 精装 ,35,2007, 塔楼,0,31,1390000.0,"14,969元/平",VR看装修 房本满五年 随时看房 
天马丽苑二期   望花园 南北对流  业主急卖,天马丽苑二期,铁路西,3室2厅 ,92.81, 南 北 , 其他 ,35,2015, 塔楼,0,21,1390000.0,"14,977元/平",VR看装修 房本满两年 随时看房 
雅居乐锦城花冠集 3室2厅 东南,雅居乐锦城花冠集,秀全街,3室2厅 ,94.11, 东南 , 毛坯 ,32,2008, 塔楼,0,15,1400000.0,"14,877元/平",VR房源 房本满五年 随时看房 
空中复式大五房   有大阳台50方  独立电梯  优质教育,福虹阳光美地,旧区,5室3厅 ,217.8, 南 , 简装 ,8,2004, 塔楼,5, 一年前发布,2600000.0,"11,938元/平",VR房源 房本满五年 随时看房 
近地铁，安静不吵，大面积居住宽趟明亮，看河景无遮挡,天马河壹号一期,铁路西,4室2厅 ,185.4, 东南 , 精装 ,19,2009, 塔楼,23, 6个月以前发布,2870000.0,"15,481元/平",近地铁 VR看装修 房本满两年 随时看房 
保利高尔夫郡 4室2厅 南,保利高尔夫郡,铁路西,4室2厅 ,139.33, 南 , 精装 ,26,2015, 塔楼,3, 1个月以前发布,2130000.0,"15,288元/平",近地铁 VR看装修 房本满两年 随时看房 
雅宝新城亚瑟公馆 2室2厅 南 北,雅宝新城亚瑟公馆,秀全街,2室2厅 ,95.3, 南 北 , 毛坯 ,19,2009, 塔楼,0,14,1250000.0,"13,117元/平",VR房源 房本满五年 随时看房 
腾步大厦 1室1厅 东,腾步大厦,旧区,1室1厅 ,77.93, 东 , 毛坯 ,14,2016, 塔楼,0,8,600000.0,"7,700元/平",VR看装修 房本满两年 随时看房 
凯旋国际 1室1厅 北,凯旋国际,新区,1室1厅 ,55.64, 北 , 精装 ,7,2007, 塔楼,0,6,520000.0,"9,346元/平",近地铁 VR看装修 房本满五年 随时看房 
元邦山清水秀 2室2厅 南 北,元邦山清水秀,狮岭镇,2室2厅 ,86.37, 南 北 , 毛坯 ,28,2018, 塔楼,0,9,700000.0,"8,105元/平",VR房源 房本满两年 随时看房 
花都美景花园 4室2厅 南,花都美景花园,旧区,4室2厅 ,84.82, 南 , 其他 ,9,1998, 塔楼,0,15,990000.0,"11,672元/平",VR房源 房本满两年 
航都花园 电梯精装三房 机场快线,航都花园,新区,3室2厅 ,101.8, 南 , 精装 ,12,2003, 塔楼,0,13,1580000.0,"15,521元/平",近地铁 VR房源 房本满五年 
品牌物业满五唯一实用三房，望花园户型方正好采光,万科天景花园,铁路西,3室1厅 ,95.37, 西南 西 , 精装 ,31,2006, 塔楼,0,9,1390000.0,"14,575元/平",近地铁 VR看装修 房本满五年 
近地铁 小区管理，中楼层，格局方正,侨滨苑,旧区,3室2厅 ,127.3, 南 北 , 精装 ,7,2000, 暂无数据,17, 一年前发布,1650000.0,"12,962元/平",近地铁 VR看装修 房本满五年 随时看房 
格局方正南向采光好 配套齐全环境优美 入住率高,祈福天龙苑,铁路西,3室1厅 ,92.08, 东南 , 毛坯 ,28,2014, 塔楼,2, 1个月以前发布,1580000.0,"17,159元/平",近地铁 VR房源 房本满两年 随时看房 
户型好，业主诚心放盘，小区配套齐全，交通便利,祈福辉煌台,铁路西,3室2厅 ,109.82, 南 , 精装 ,28,2012, 塔楼,2, 2个月以前发布,1680000.0,"15,298元/平",近地铁 VR房源 房本满两年 随时看房 
